customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
1000,195,2,1228.72,1,1,4,114,At Risk Customer
1001,9,1,0.0,5,1,1,511,Regular Customer
1002,56,3,0.0,4,3,1,431,Potential Loyalist
1003,26,3,1681.96,5,3,4,534,Potential Loyalist
1004,94,3,0.0,3,3,1,331,Regular Customer
1005,208,3,0.0,1,3,1,131,At Risk Customer
1006,96,2,0.0,3,1,1,311,Regular Customer
1007,139,1,0.0,2,1,1,211,At Risk Customer
1008,48,5,1546.42,4,5,4,454,Potential Loyalist
1009,99,5,4616.63,3,5,5,355,Regular Customer
1011,88,4,0.0,3,4,1,341,Regular Customer
1012,234,3,0.0,1,3,1,131,At Risk Customer
1013,68,2,0.0,3,1,1,311,Regular Customer
1014,16,4,2423.92,5,4,5,545,Potential Loyalist
1015,316,1,0.0,1,1,1,111,At Risk Customer
1016,46,1,0.0,4,1,1,411,Regular Customer
1017,161,2,0.0,2,1,1,211,At Risk Customer
1018,235,1,0.0,1,1,1,111,At Risk Customer
1019,213,1,0.0,1,1,1,111,At Risk Customer
1020,49,4,0.0,4,4,1,441,Potential Loyalist
1021,111,5,0.0,2,5,1,251,At Risk Customer
1022,11,1,0.0,5,1,1,511,Regular Customer
1023,283,2,0.0,1,1,1,111,At Risk Customer
1024,125,2,0.0,2,1,1,211,At Risk Customer
1025,5,2,0.0,5,1,1,511,Regular Customer
1026,145,3,244.3,2,3,3,233,At Risk Customer
1027,29,4,0.0,4,4,1,441,Potential Loyalist
1028,54,5,2328.44,4,5,4,454,Potential Loyalist
1029,154,1,357.02,2,1,3,213,At Risk Customer
1030,188,3,0.0,1,3,1,131,At Risk Customer
1031,128,4,2231.42,2,4,4,244,At Risk Customer
1032,60,4,0.0,4,4,1,441,Potential Loyalist
1033,96,5,571.06,3,5,3,353,Regular Customer
1034,19,1,0.0,5,1,1,511,Regular Customer
1035,136,4,325.77,2,4,3,243,At Risk Customer
1036,50,3,395.17,4,3,3,433,Potential Loyalist
1037,105,4,0.0,3,4,1,341,Regular Customer
1038,4,4,4503.98,5,4,5,545,Potential Loyalist
1039,14,4,1852.98,5,4,4,544,Potential Loyalist
1040,13,5,7417.69,5,5,5,555,High Value Customer
1041,120,2,1296.48,2,1,4,214,At Risk Customer
1042,29,5,4330.68,4,5,5,455,Potential Loyalist
1043,65,1,0.0,3,1,1,311,Regular Customer
1044,3,7,1008.62,5,5,4,554,Potential Loyalist
1045,43,2,0.0,4,1,1,411,Regular Customer
1046,236,3,0.0,1,3,1,131,At Risk Customer
1047,115,5,922.92,2,5,4,254,At Risk Customer
1048,283,3,0.0,1,3,1,131,At Risk Customer
1049,177,4,0.0,2,4,1,241,At Risk Customer
1050,106,3,0.0,3,3,1,331,Regular Customer
1051,154,3,0.0,2,3,1,231,At Risk Customer
1052,12,6,0.0,5,5,1,551,Potential Loyalist
1053,214,1,0.0,1,1,1,111,At Risk Customer
1054,72,5,2322.16,3,5,4,354,Regular Customer
1055,47,2,0.0,4,1,1,411,Regular Customer
1056,78,1,345.71,3,1,3,313,Regular Customer
1057,72,4,0.0,3,4,1,341,Regular Customer
1058,221,3,6257.73,1,3,5,135,At Risk Customer
1059,25,2,0.0,5,1,1,511,Regular Customer
1060,137,1,0.0,2,1,1,211,At Risk Customer
1061,96,2,0.0,3,1,1,311,Regular Customer
1062,93,3,5304.35,3,3,5,335,Regular Customer
1063,51,3,0.0,4,3,1,431,Potential Loyalist
1064,135,1,0.0,2,1,1,211,At Risk Customer
1065,222,1,7889.36,1,1,5,115,At Risk Customer
1066,141,4,3654.18,2,4,5,245,At Risk Customer
1067,118,4,2032.07,2,4,4,244,At Risk Customer
1068,151,2,0.0,2,1,1,211,At Risk Customer
1069,7,3,0.0,5,3,1,531,Potential Loyalist
1070,6,3,0.0,5,3,1,531,Potential Loyalist
1071,72,5,1331.9,3,5,4,354,Regular Customer
1072,268,1,0.0,1,1,1,111,At Risk Customer
1073,130,2,0.0,2,1,1,211,At Risk Customer
1074,21,1,0.0,5,1,1,511,Regular Customer
1075,287,2,0.0,1,1,1,111,At Risk Customer
1076,81,4,1449.62,3,4,4,344,Regular Customer
1077,88,3,1959.6,3,3,4,334,Regular Customer
1078,214,2,490.0,1,1,3,113,At Risk Customer
1079,106,4,4252.77,3,4,5,345,Regular Customer
1080,123,4,2111.96,2,4,4,244,At Risk Customer
1081,307,1,0.0,1,1,1,111,At Risk Customer
1082,224,3,1601.42,1,3,4,134,At Risk Customer
1083,128,4,1056.76,2,4,4,244,At Risk Customer
1084,219,3,3648.04,1,3,5,135,At Risk Customer
1086,102,3,1236.24,3,3,4,334,Regular Customer
1087,191,3,222.61,1,3,3,133,At Risk Customer
1088,311,1,0.0,1,1,1,111,At Risk Customer
1089,21,3,2169.46,5,3,4,534,Potential Loyalist
1090,21,7,3331.6,5,5,5,555,High Value Customer
1091,4,4,0.0,5,4,1,541,Potential Loyalist
1092,165,2,2987.93,2,1,5,215,At Risk Customer
1093,181,1,0.0,2,1,1,211,At Risk Customer
1094,84,2,0.0,3,1,1,311,Regular Customer
1095,49,3,3681.54,4,3,5,435,Potential Loyalist
1096,17,4,4912.93,5,4,5,545,Potential Loyalist
1097,334,2,0.0,1,1,1,111,At Risk Customer
1098,56,3,0.0,4,3,1,431,Potential Loyalist
